BV号,出现时间,弹幕类型,字的大小,颜色,上传时间,uid,弹幕内容
BV1i34112729,83.83500,1,25,0xFFFFFF,2021-10-9,26d63971,月亮姐姐唱歌属于专业对口
BV1i34112729,30.18500,1,25,0xFFFFFF,2021-10-4,a519928,月亮姐姐！！！
BV1i34112729,26.87700,1,25,0xFFFFFF,2021-10-4,d624f655,苏轼中秋快乐 少吃点月饼
BV1i34112729,102.73800,1,25,0xFFFFFF,2021-10-2,4adf0f2c,月亮姐姐真的太漂亮了啊
BV1i34112729,31.10100,1,25,0xFFFFFF,2021-10-2,4adf0f2c,月亮姐姐好漂亮啊
BV1i34112729,37.03900,1,25,0xFFFFFF,2021-10-1,1598ca40,哈哈哈有点可爱
BV1i34112729,130.78200,1,25,0xFFFFFF,2021-9-29,8834852a,怎么听到“冰头月饼组合”？
BV1i34112729,46.51900,1,25,0xFFFFFF,2021-9-27,9ffb5903,背景哈哈哈哈哈哈哈哈哈哈
BV1i34112729,39.65400,1,25,0xFFFFFF,2021-9-26,74806db5,呜呜呜月亮姐姐都老了
BV1i34112729,55.18600,1,25,0xFFFFFF,2021-9-24,496175a9,词是苏轼的《水调歌头》
BV1i34112729,78.51900,1,25,0xFFFFFF,2021-9-24,455ce09c,苏轼写的歌词（dog）
BV1i34112729,47.38300,1,25,0xFFFFFF,2021-9-23,1f620c5d,百万调音（doge）
BV1i34112729,35.81700,1,25,0xFFFFFF,2021-9-23,6ea2f868,冰冰唱歌啦！！！
BV1i34112729,57.43300,1,25,0xFFFFFF,2021-9-23,cd35696a,手办考虑一下
BV1i34112729,42.59100,1,25,0xFFFFFF,2021-9-23,49fe5a11,冰冰中秋快乐
BV1i34112729,13.24200,1,25,0xFFFFFF,2021-9-23,ec7ee54c,她还是那么爱吃月饼
BV1i34112729,55.43800,1,25,0xFFFFFF,2021-9-23,8f2a0df7,鸽子在人间
BV1i34112729,110.18500,1,25,0xFFFFFF,2021-9-23,6cef996f,月亮姐姐厉害了
BV1i34112729,103.90700,1,25,0x89D5FF,2021-9-23,bc7047c0,是小玉兔冰冰
BV1i34112729,114.53900,1,25,0xFFFFFF,2021-9-23,b87fe9d4,冰冰成挂件了
BV1i34112729,18.89900,1,25,0xFFFFFF,2021-9-22,e2fe6f3,月亮姐姐太应景
BV1i34112729,131.13400,1,25,0xFFFFFF,2021-9-22,5c62513f,果然是大头冰冰我的冰宝儿
BV1i34112729,44.58300,5,25,0xFEF102,2021-9-22,9b7f8a60,冰冰的眼睛怎么会有这么大
BV1i34112729,5.01900,1,25,0xFFFFFF,2021-9-22,7222b770,中秋快乐
BV1i34112729,63.50800,1,25,0xFFFFFF,2021-9-22,d724fa47,歌词谁写的，太牛了吧
BV1i34112729,67.48500,1,25,0xFFFFFF,2021-9-22,4c0721a6,中秋快乐
BV1i34112729,12.74500,1,25,0xFFFFFF,2021-9-22,2c203817,月亮姐姐！！！
BV1i34112729,79.41000,1,25,0xFFFFFF,2021-9-22,a025b8f0,月亮姐姐唱歌真好！
BV1i34112729,6.91500,1,25,0xFFFFFF,2021-9-22,f6106e5b,中秋佳节
BV1i34112729,38.11300,1,25,0xFFFFFF,2021-9-22,e6246f3,中秋快乐
BV1i34112729,53.06900,1,25,0xFFFFFF,2021-9-22,9926e046,冰皮月饼
BV1i34112729,125.20200,1,25,0xFFFFFF,2021-9-22,d91a8fe,查干湖在逃胖头鱼公主
BV1i34112729,14.15500,1,25,0xFFFFFF,2021-9-22,dc3eefe4,月亮姐姐还是那么年轻
BV1i34112729,124.51900,1,25,0xFFFFFF,2021-9-22,2462c703,月亮姐姐带不动了哈哈哈哈哈
